item_number,quantity,substitution_code,manufacturer,part_number,description,reference_designator,package
1,2,6,Panasonic,ECJ-HVB1C106M,"capacitor, monolithic, 1206, X5R, 10uF, 16 V","C1, C2",
2,1,6,Panasonic,ECJ-1VB1C104K,"capacitor, monolithic, 0603, X5R, 0.1uF, 16V",C3,
3,Do Not Install,,,,"C4, C5",,
4,1,6,Panasonic,ERJ-3GEY0R00V,"resistor, metal film, 0603, 5%, zero ohm",R1,
5,1,6,Murata,BLM18BB471SN1D,"inductor, 0603",L1,
6,1,10,National Semi,LP2980AIM5-5.0,"IC, voltage regulator, 5V, SOT-23-5",U2,
7,4,10,Johnson Components,111-2223-001,"connector, banana plug","IP+, IP-, IPGND, IPGND",
8,5,10,Keystone Electronics,5005,"testpoint, 0.063 inch diameter, red",TP1 through TP5,
9,4,,,,"screw, zinc metal plated, 4-40, 0.5 inch, Philips",see construction notes,
10,4,6,Keystone Electronics,1450C,"standoff, male/male, zinc metal plated, 4-40, 0.5 inch long, hex shaped",see construction notes,
11,1,10,Molex,22-11-2062,"connector, friction lock header, 6 pin",J1,
12,1,,,,"buss wire, tinned, 22 or 24 gauge",RJ,0.5 inch long. See construction notes
13,1,10,,,"PCB, as from gerber files marked ""85-0322""",,
14,1,10,,,Allegro Current Sensor,U1,"SOIC8, as provided by Allegro"
11,1,0,Allegro,85-0322-001,board,,
21,1,0,Allegro,ACS712ELC-05B-T,"IC, SOIC8, current sensor",U1,
11,1,0,Allegro,85-0322-001,board,,
21,1,0,Allegro,ACS712ELC-20A-T,"IC, SOIC8, current sensor",U1,
11,1,0,Allegro,85-0322-001,board,,
21,1,0,Allegro,ACS712ELC-30A-T,"IC, SOIC8, current sensor",U1,
11,1,0,Allegro,85-0322-001,board,,
21,1,0,Allegro,ACS713ELC-20A-T,"IC, SOIC8, current sensor",U1,
11,1,0,Allegro,85-0322-001,board,,
21,1,0,Allegro,ACS713ELC-30A-T,"IC, SOIC8, current sensor",U1,
